date,sku,qty,amount,region
2025-03-07,CABLE-USB,3,197.96,north
2025-04-08,DOCK-HDMI,1,17.35,south
2025-05-09,KEYCAP-SET,8,220.35,eu
2025-06-10,INVOICE-PAD,4,169.21,apac
2025-07-11,WIDGET-1,3,103.05,west
2025-08-12,WIDGET-PRO,5,45.92,east
2025-09-13,CABLE-USB,12,399.22,north
2025-10-14,DOCK-HDMI,8,449.04,south
2025-11-15,KEYCAP-SET,2,76.70,eu
2025-12-16,INVOICE-PAD,11,642.78,apac
2025-01-17,WIDGET-1,8,264.97,west
2025-02-18,WIDGET-PRO,8,289.41,east
2025-03-19,CABLE-USB,2,22.70,north
2025-04-20,DOCK-HDMI,2,40.74,south
2025-05-21,KEYCAP-SET,12,949.54,eu
2025-06-22,INVOICE-PAD,13,724.00,apac
2025-07-23,WIDGET-1,13,77.23,west
2025-08-24,WIDGET-PRO,12,982.12,east
2025-09-25,CABLE-USB,1,47.57,north
2025-10-26,DOCK-HDMI,13,435.78,south
2025-11-27,KEYCAP-SET,5,141.34,eu
2025-12-28,INVOICE-PAD,8,234.81,apac
2025-01-01,WIDGET-1,11,793.10,west
2025-02-02,WIDGET-PRO,12,664.14,east
2025-03-03,CABLE-USB,6,218.57,north
2025-04-04,DOCK-HDMI,10,680.46,south
2025-05-05,KEYCAP-SET,5,262.56,eu
2025-06-06,INVOICE-PAD,9,246.41,apac
2025-07-07,WIDGET-1,6,371.57,west
2025-08-08,WIDGET-PRO,9,692.09,east
2025-09-09,CABLE-USB,12,550.82,north
2025-10-10,DOCK-HDMI,4,62.27,south
2025-11-11,KEYCAP-SET,5,132.85,eu
2025-12-12,INVOICE-PAD,8,435.40,apac
2025-01-13,WIDGET-1,13,982.01,west
2025-02-14,WIDGET-PRO,12,465.22,east
2025-03-15,CABLE-USB,12,650.30,north
2025-04-16,DOCK-HDMI,5,81.43,south
2025-05-17,KEYCAP-SET,9,763.21,eu
2025-06-18,INVOICE-PAD,5,91.08,apac
2025-07-19,WIDGET-1,13,178.69,west
2025-08-20,WIDGET-PRO,12,331.88,east
2025-09-21,CABLE-USB,7,38.22,north
2025-10-22,DOCK-HDMI,9,625.71,south
2025-11-23,KEYCAP-SET,1,38.43,eu
2025-12-24,INVOICE-PAD,11,282.15,apac
2025-01-25,WIDGET-1,7,544.11,west
2025-02-26,WIDGET-PRO,1,80.85,east
2025-03-27,CABLE-USB,8,76.51,north
2025-04-28,DOCK-HDMI,6,269.29,south
2025-05-01,KEYCAP-SET,7,320.88,eu
2025-06-02,INVOICE-PAD,7,209.40,apac
2025-07-03,WIDGET-1,9,705.01,west
2025-08-04,WIDGET-PRO,11,199.01,east
2025-09-05,CABLE-USB,7,425.25,north
2025-10-06,DOCK-HDMI,10,585.87,south
2025-11-07,KEYCAP-SET,6,426.84,eu
2025-12-08,INVOICE-PAD,3,258.79,apac
2025-01-09,WIDGET-1,7,404.11,west
2025-02-10,WIDGET-PRO,8,135.71,east
2025-03-11,CABLE-USB,13,101.56,north
2025-04-12,DOCK-HDMI,10,709.64,south
2025-05-13,KEYCAP-SET,4,124.23,eu
2025-06-14,INVOICE-PAD,10,219.02,apac
2025-07-15,WIDGET-1,13,1110.87,west
2025-08-16,WIDGET-PRO,6,246.49,east
2025-09-17,CABLE-USB,4,235.40,north
2025-10-18,DOCK-HDMI,10,121.29,south
2025-11-19,KEYCAP-SET,3,55.77,eu
2025-12-20,INVOICE-PAD,12,432.94,apac
2025-01-21,WIDGET-1,12,562.95,west
2025-02-22,WIDGET-PRO,7,210.97,east
2025-03-23,CABLE-USB,8,67.09,north
2025-04-24,DOCK-HDMI,7,613.77,south
2025-05-25,KEYCAP-SET,9,640.60,eu
2025-06-26,INVOICE-PAD,4,91.85,apac
2025-07-27,WIDGET-1,4,84.87,west
2025-08-28,WIDGET-PRO,9,90.40,east
2025-09-01,CABLE-USB,9,496.96,north
2025-10-02,DOCK-HDMI,11,765.55,south
2025-11-03,KEYCAP-SET,6,266.96,eu
2025-12-04,INVOICE-PAD,12,113.27,apac
2025-01-05,WIDGET-1,6,80.06,west
2025-02-06,WIDGET-PRO,11,318.94,east
2025-03-07,CABLE-USB,11,392.78,north
2025-04-08,DOCK-HDMI,6,510.11,south
2025-05-09,KEYCAP-SET,4,50.28,eu
2025-06-10,INVOICE-PAD,1,58.26,apac
2025-07-11,WIDGET-1,6,259.27,west
2025-08-12,WIDGET-PRO,8,256.90,east
2025-09-13,CABLE-USB,10,231.27,north
2025-10-14,DOCK-HDMI,2,74.45,south
2025-11-15,KEYCAP-SET,3,99.39,eu
2025-12-16,INVOICE-PAD,2,9.14,apac
2025-01-17,WIDGET-1,6,52.10,west
2025-02-18,WIDGET-PRO,7,273.33,east
2025-03-19,CABLE-USB,4,220.29,north
2025-04-20,DOCK-HDMI,2,134.40,south
2025-05-21,KEYCAP-SET,12,680.21,eu
2025-06-22,INVOICE-PAD,11,155.15,apac
2025-07-23,WIDGET-1,4,141.78,west
2025-08-24,WIDGET-PRO,8,294.79,east
2025-09-25,CABLE-USB,9,145.84,north
2025-10-26,DOCK-HDMI,9,722.28,south
2025-11-27,KEYCAP-SET,3,161.07,eu
2025-12-28,INVOICE-PAD,2,13.18,apac
2025-01-01,WIDGET-1,7,234.79,west
2025-02-02,WIDGET-PRO,3,23.43,east
2025-03-03,CABLE-USB,5,307.33,north
2025-04-04,DOCK-HDMI,8,169.88,south
2025-05-05,KEYCAP-SET,7,345.84,eu
2025-06-06,INVOICE-PAD,1,22.87,apac
2025-07-07,WIDGET-1,7,113.47,west
2025-08-08,WIDGET-PRO,13,876.23,east
2025-09-09,CABLE-USB,13,545.59,north
2025-10-10,DOCK-HDMI,4,351.53,south
2025-11-11,KEYCAP-SET,3,238.85,eu
2025-12-12,INVOICE-PAD,6,501.22,apac
2025-01-13,WIDGET-1,7,509.08,west
2025-02-14,WIDGET-PRO,13,121.41,east
2025-03-15,CABLE-USB,5,23.13,north
2025-04-16,DOCK-HDMI,1,51.63,south
2025-05-17,KEYCAP-SET,7,299.79,eu
2025-06-18,INVOICE-PAD,4,176.09,apac
2025-07-19,WIDGET-1,3,58.63,west
2025-08-20,WIDGET-PRO,8,97.03,east
2025-09-21,CABLE-USB,6,491.76,north
2025-10-22,DOCK-HDMI,2,40.25,south
2025-11-23,KEYCAP-SET,9,56.15,eu
2025-12-24,INVOICE-PAD,4,194.44,apac
2025-01-25,WIDGET-1,8,423.34,west
2025-02-26,WIDGET-PRO,7,90.87,east
2025-03-27,CABLE-USB,2,159.92,north
2025-04-28,DOCK-HDMI,3,112.02,south
2025-05-01,KEYCAP-SET,8,474.92,eu
2025-06-02,INVOICE-PAD,12,598.12,apac
2025-07-03,WIDGET-1,6,76.28,west
2025-08-04,WIDGET-PRO,2,114.47,east
2025-09-05,CABLE-USB,4,163.97,north
2025-10-06,DOCK-HDMI,13,1055.81,south
2025-11-07,KEYCAP-SET,6,317.78,eu
2025-12-08,INVOICE-PAD,13,1044.25,apac
2025-01-09,WIDGET-1,1,82.71,west
2025-02-10,WIDGET-PRO,11,219.34,east
2025-03-11,CABLE-USB,6,508.16,north
2025-04-12,DOCK-HDMI,1,70.44,south
2025-05-13,KEYCAP-SET,6,45.15,eu
2025-06-14,INVOICE-PAD,4,236.90,apac
2025-07-15,WIDGET-1,12,362.70,west
2025-08-16,WIDGET-PRO,1,13.54,east
2025-09-17,CABLE-USB,6,501.58,north
2025-10-18,DOCK-HDMI,8,368.38,south
2025-11-19,KEYCAP-SET,3,45.70,eu
2025-12-20,INVOICE-PAD,12,428.85,apac
2025-01-21,WIDGET-1,6,44.78,west
2025-02-22,WIDGET-PRO,5,253.09,east
2025-03-23,CABLE-USB,7,175.83,north
2025-04-24,DOCK-HDMI,2,10.04,south
2025-05-25,KEYCAP-SET,5,311.14,eu
2025-06-26,INVOICE-PAD,6,373.49,apac
2025-07-27,WIDGET-1,5,333.59,west
2025-08-28,WIDGET-PRO,11,801.34,east
2025-09-01,CABLE-USB,6,293.64,north
2025-10-02,DOCK-HDMI,12,917.71,south
2025-11-03,KEYCAP-SET,7,356.39,eu
2025-12-04,INVOICE-PAD,6,144.86,apac
2025-01-05,WIDGET-1,1,69.90,west
2025-02-06,WIDGET-PRO,10,60.76,east
2025-03-07,CABLE-USB,13,442.67,north
2025-04-08,DOCK-HDMI,8,297.87,south
2025-05-09,KEYCAP-SET,8,357.14,eu
2025-06-10,INVOICE-PAD,11,962.51,apac
2025-07-11,WIDGET-1,6,373.19,west
2025-08-12,WIDGET-PRO,10,367.35,east
2025-09-13,CABLE-USB,11,421.04,north
2025-10-14,DOCK-HDMI,5,50.19,south
2025-11-15,KEYCAP-SET,6,260.85,eu
2025-12-16,INVOICE-PAD,4,284.34,apac
2025-01-17,WIDGET-1,12,637.20,west
2025-02-18,WIDGET-PRO,6,312.96,east
2025-03-19,CABLE-USB,3,26.17,north
2025-04-20,DOCK-HDMI,10,145.28,south
2025-05-21,KEYCAP-SET,11,805.71,eu
2025-06-22,INVOICE-PAD,8,606.96,apac
2025-07-23,WIDGET-1,13,1045.37,west
2025-08-24,WIDGET-PRO,8,565.15,east
2025-09-25,CABLE-USB,2,47.76,north
2025-10-26,DOCK-HDMI,5,31.89,south
2025-11-27,KEYCAP-SET,10,833.32,eu
2025-12-28,INVOICE-PAD,1,55.61,apac
2025-01-01,WIDGET-1,13,844.59,west
2025-02-02,WIDGET-PRO,6,443.75,east
2025-03-03,CABLE-USB,9,438.34,north
2025-04-04,DOCK-HDMI,13,769.80,south
2025-05-05,KEYCAP-SET,3,118.59,eu
2025-06-06,INVOICE-PAD,12,684.47,apac
2025-07-07,WIDGET-1,8,514.46,west
2025-08-08,WIDGET-PRO,7,267.04,east
2025-09-09,CABLE-USB,8,649.76,north
2025-10-10,DOCK-HDMI,6,160.48,south
2025-11-11,KEYCAP-SET,5,344.41,eu
2025-12-12,INVOICE-PAD,6,329.38,apac
2025-01-13,WIDGET-1,1,18.36,west
2025-02-14,WIDGET-PRO,8,232.37,east
2025-03-15,CABLE-USB,5,274.46,north
2025-04-16,DOCK-HDMI,6,471.61,south
2025-05-17,KEYCAP-SET,9,643.18,eu
2025-06-18,INVOICE-PAD,3,262.23,apac
2025-07-19,WIDGET-1,10,658.65,west
2025-08-20,WIDGET-PRO,8,65.56,east
2025-09-21,CABLE-USB,5,386.23,north
2025-10-22,DOCK-HDMI,5,93.41,south
2025-11-23,KEYCAP-SET,7,574.39,eu
2025-12-24,INVOICE-PAD,7,434.03,apac
2025-01-25,WIDGET-1,10,327.34,west
2025-02-26,WIDGET-PRO,8,44.01,east
2025-03-27,CABLE-USB,8,241.72,north
2025-04-28,DOCK-HDMI,6,405.63,south
2025-05-01,KEYCAP-SET,8,390.99,eu
2025-06-02,INVOICE-PAD,4,154.45,apac
2025-07-03,WIDGET-1,8,31.53,west
2025-08-04,WIDGET-PRO,2,94.35,east
2025-09-05,CABLE-USB,8,514.75,north
2025-10-06,DOCK-HDMI,8,247.75,south
2025-11-07,KEYCAP-SET,13,864.51,eu
2025-12-08,INVOICE-PAD,11,874.41,apac
2025-01-09,WIDGET-1,8,128.64,west
2025-02-10,WIDGET-PRO,1,73.34,east
2025-03-11,CABLE-USB,4,271.09,north
2025-04-12,DOCK-HDMI,10,395.99,south
2025-05-13,KEYCAP-SET,9,90.78,eu
2025-06-14,INVOICE-PAD,10,37.96,apac
2025-07-15,WIDGET-1,9,714.54,west
2025-08-16,WIDGET-PRO,1,7.17,east
2025-09-17,CABLE-USB,3,63.78,north
2025-10-18,DOCK-HDMI,8,201.04,south
2025-11-19,KEYCAP-SET,12,741.43,eu
2025-12-20,INVOICE-PAD,5,218.57,apac
2025-01-21,WIDGET-1,8,407.74,west
2025-02-22,WIDGET-PRO,8,186.97,east
2025-03-23,CABLE-USB,10,644.06,north
2025-04-24,DOCK-HDMI,5,210.17,south
2025-05-25,KEYCAP-SET,3,13.75,eu
2025-06-26,INVOICE-PAD,2,91.33,apac
2025-07-27,WIDGET-1,11,181.62,west
2025-08-28,WIDGET-PRO,2,120.59,east
2025-09-01,CABLE-USB,1,48.61,north
2025-10-02,DOCK-HDMI,8,321.72,south
2025-11-03,KEYCAP-SET,7,281.10,eu
2025-12-04,INVOICE-PAD,8,428.11,apac
2025-01-05,WIDGET-1,8,68.92,west
2025-02-06,WIDGET-PRO,7,355.85,east
2025-03-07,CABLE-USB,5,112.75,north
2025-04-08,DOCK-HDMI,9,706.55,south
2025-05-09,KEYCAP-SET,8,367.43,eu
2025-06-10,INVOICE-PAD,9,503.99,apac
2025-07-11,WIDGET-1,13,1092.88,west
2025-08-12,WIDGET-PRO,12,496.46,east
2025-09-13,CABLE-USB,9,97.37,north
2025-10-14,DOCK-HDMI,1,84.08,south
2025-11-15,KEYCAP-SET,2,129.30,eu
2025-12-16,INVOICE-PAD,12,323.15,apac
2025-01-17,WIDGET-1,2,144.80,west
2025-02-18,WIDGET-PRO,12,253.58,east
2025-03-19,CABLE-USB,1,21.04,north
2025-04-20,DOCK-HDMI,13,271.36,south
2025-05-21,KEYCAP-SET,9,660.12,eu
2025-06-22,INVOICE-PAD,9,613.11,apac
2025-07-23,WIDGET-1,10,62.72,west
2025-08-24,WIDGET-PRO,9,203.36,east
2025-09-25,CABLE-USB,6,469.46,north
2025-10-26,DOCK-HDMI,8,614.08,south
2025-11-27,KEYCAP-SET,6,370.00,eu
2025-12-28,INVOICE-PAD,13,58.28,apac
2025-01-01,WIDGET-1,11,901.08,west
2025-02-02,WIDGET-PRO,4,27.86,east
2025-03-03,CABLE-USB,7,239.55,north
2025-04-04,DOCK-HDMI,7,220.16,south
2025-05-05,KEYCAP-SET,12,129.04,eu
2025-06-06,INVOICE-PAD,9,470.00,apac
2025-07-07,WIDGET-1,5,208.44,west
2025-08-08,WIDGET-PRO,7,553.02,east
2025-09-09,CABLE-USB,8,274.74,north
2025-10-10,DOCK-HDMI,12,548.48,south
2025-11-11,KEYCAP-SET,7,592.79,eu
2025-12-12,INVOICE-PAD,10,407.83,apac
2025-01-13,WIDGET-1,8,486.65,west
2025-02-14,WIDGET-PRO,9,232.47,east
2025-03-15,CABLE-USB,3,148.66,north
2025-04-16,DOCK-HDMI,2,135.67,south
2025-05-17,KEYCAP-SET,6,207.74,eu
2025-06-18,INVOICE-PAD,13,905.78,apac
2025-07-19,WIDGET-1,1,77.59,west
2025-08-20,WIDGET-PRO,7,570.56,east
2025-09-21,CABLE-USB,3,71.05,north
2025-10-22,DOCK-HDMI,2,162.21,south
2025-11-23,KEYCAP-SET,12,49.64,eu
2025-12-24,INVOICE-PAD,5,154.18,apac
2025-01-25,WIDGET-1,1,22.30,west
2025-02-26,WIDGET-PRO,12,806.95,east
2025-03-27,CABLE-USB,6,504.77,north
2025-04-28,DOCK-HDMI,4,353.17,south
2025-05-01,KEYCAP-SET,5,84.47,eu
2025-06-02,INVOICE-PAD,1,52.18,apac
2025-07-03,WIDGET-1,12,469.97,west
2025-08-04,WIDGET-PRO,13,330.09,east
2025-09-05,CABLE-USB,2,76.36,north
2025-10-06,DOCK-HDMI,11,85.76,south
2025-11-07,KEYCAP-SET,13,68.38,eu
2025-12-08,INVOICE-PAD,6,312.05,apac
2025-01-09,WIDGET-1,3,237.92,west
2025-02-10,WIDGET-PRO,1,11.79,east
2025-03-11,CABLE-USB,5,241.48,north
2025-04-12,DOCK-HDMI,3,210.33,south
2025-05-13,KEYCAP-SET,10,386.10,eu
2025-06-14,INVOICE-PAD,5,97.07,apac
2025-07-15,WIDGET-1,2,136.55,west
2025-08-16,WIDGET-PRO,3,41.52,east
2025-09-17,CABLE-USB,6,218.86,north
2025-10-18,DOCK-HDMI,10,238.47,south
2025-11-19,KEYCAP-SET,11,777.16,eu
2025-12-20,INVOICE-PAD,9,618.65,apac
2025-01-21,WIDGET-1,13,452.60,west
2025-02-22,WIDGET-PRO,4,174.25,east
2025-03-23,CABLE-USB,4,92.60,north
2025-04-24,DOCK-HDMI,9,692.03,south
2025-05-25,KEYCAP-SET,3,90.48,eu
2025-06-26,INVOICE-PAD,1,80.93,apac
2025-07-27,WIDGET-1,12,231.70,west
2025-08-28,WIDGET-PRO,10,461.26,east
2025-09-01,CABLE-USB,10,72.22,north
2025-10-02,DOCK-HDMI,11,418.57,south
2025-11-03,KEYCAP-SET,8,276.90,eu
2025-12-04,INVOICE-PAD,10,570.72,apac
2025-01-05,WIDGET-1,6,471.27,west
2025-02-06,WIDGET-PRO,4,327.45,east
2025-03-07,CABLE-USB,6,454.21,north
2025-04-08,DOCK-HDMI,9,170.72,south
2025-05-09,KEYCAP-SET,6,97.05,eu
2025-06-10,INVOICE-PAD,5,149.45,apac
2025-07-11,WIDGET-1,13,772.80,west
2025-08-12,WIDGET-PRO,6,22.57,east
2025-09-13,CABLE-USB,10,789.64,north
2025-10-14,DOCK-HDMI,9,419.36,south
2025-11-15,KEYCAP-SET,13,357.54,eu
2025-12-16,INVOICE-PAD,12,403.50,apac
2025-01-17,WIDGET-1,4,45.64,west
2025-02-18,WIDGET-PRO,10,351.36,east
2025-03-19,CABLE-USB,8,75.13,north
2025-04-20,DOCK-HDMI,13,920.57,south
2025-05-21,KEYCAP-SET,5,60.83,eu
2025-06-22,INVOICE-PAD,8,526.67,apac
2025-07-23,WIDGET-1,13,842.72,west
2025-08-24,WIDGET-PRO,6,268.48,east
2025-09-25,CABLE-USB,10,571.24,north
2025-10-26,DOCK-HDMI,2,80.86,south
2025-11-27,KEYCAP-SET,7,38.60,eu
2025-12-28,INVOICE-PAD,5,373.42,apac
2025-01-01,WIDGET-1,8,580.33,west
2025-02-02,WIDGET-PRO,5,405.28,east
2025-03-03,CABLE-USB,11,494.18,north
2025-04-04,DOCK-HDMI,6,185.10,south
2025-05-05,KEYCAP-SET,8,688.78,eu
2025-06-06,INVOICE-PAD,5,443.47,apac
2025-07-07,WIDGET-1,13,234.40,west
2025-08-08,WIDGET-PRO,5,127.00,east
2025-09-09,CABLE-USB,9,437.28,north
2025-10-10,DOCK-HDMI,12,907.48,south
2025-11-11,KEYCAP-SET,2,132.31,eu
2025-12-12,INVOICE-PAD,11,805.19,apac
2025-01-13,WIDGET-1,13,1114.34,west
2025-02-14,WIDGET-PRO,6,405.69,east
2025-03-15,CABLE-USB,12,609.74,north
2025-04-16,DOCK-HDMI,12,707.97,south
2025-05-17,KEYCAP-SET,7,112.92,eu
2025-06-18,INVOICE-PAD,1,52.04,apac
2025-07-19,WIDGET-1,11,482.50,west
2025-08-20,WIDGET-PRO,8,506.46,east
2025-09-21,CABLE-USB,12,125.25,north
2025-10-22,DOCK-HDMI,7,260.25,south
2025-11-23,KEYCAP-SET,9,68.98,eu
2025-12-24,INVOICE-PAD,4,261.55,apac
2025-01-25,WIDGET-1,10,656.57,west
2025-02-26,WIDGET-PRO,3,224.95,east
2025-03-27,CABLE-USB,3,111.74,north
2025-04-28,DOCK-HDMI,8,670.21,south
2025-05-01,KEYCAP-SET,8,476.62,eu
2025-06-02,INVOICE-PAD,5,382.31,apac
2025-07-03,WIDGET-1,12,901.50,west
2025-08-04,WIDGET-PRO,13,797.08,east
2025-09-05,CABLE-USB,8,319.34,north
2025-10-06,DOCK-HDMI,9,784.41,south
2025-11-07,KEYCAP-SET,3,203.74,eu
2025-12-08,INVOICE-PAD,12,1022.38,apac
2025-01-09,WIDGET-1,1,10.55,west
2025-02-10,WIDGET-PRO,5,344.15,east
2025-03-11,CABLE-USB,9,644.21,north
2025-04-12,DOCK-HDMI,12,745.07,south
2025-05-13,KEYCAP-SET,1,80.41,eu
2025-06-14,INVOICE-PAD,12,848.20,apac
2025-07-15,WIDGET-1,13,1056.17,west
2025-08-16,WIDGET-PRO,9,165.18,east
2025-09-17,CABLE-USB,1,72.47,north
2025-10-18,DOCK-HDMI,5,52.70,south
2025-11-19,KEYCAP-SET,5,180.31,eu
2025-12-20,INVOICE-PAD,10,128.44,apac
2025-01-21,WIDGET-1,11,370.33,west
2025-02-22,WIDGET-PRO,11,145.98,east
2025-03-23,CABLE-USB,1,55.07,north
2025-04-24,DOCK-HDMI,6,522.39,south
2025-05-25,KEYCAP-SET,8,599.38,eu
2025-06-26,INVOICE-PAD,1,3.78,apac
2025-07-27,WIDGET-1,11,227.97,west
2025-08-28,WIDGET-PRO,7,78.93,east
2025-09-01,CABLE-USB,3,162.00,north
2025-10-02,DOCK-HDMI,4,170.76,south
2025-11-03,KEYCAP-SET,6,105.70,eu
2025-12-04,INVOICE-PAD,2,123.13,apac
2025-01-05,WIDGET-1,5,412.69,west
2025-02-06,WIDGET-PRO,10,337.53,east
2025-03-07,CABLE-USB,12,490.05,north
2025-04-08,DOCK-HDMI,3,104.12,south
2025-05-09,KEYCAP-SET,11,245.72,eu
2025-06-10,INVOICE-PAD,10,746.47,apac
2025-07-11,WIDGET-1,11,737.93,west
2025-08-12,WIDGET-PRO,3,92.48,east
2025-09-13,CABLE-USB,6,489.72,north
2025-10-14,DOCK-HDMI,3,193.47,south
2025-11-15,KEYCAP-SET,9,413.83,eu
2025-12-16,INVOICE-PAD,8,143.90,apac
2025-01-17,WIDGET-1,2,119.36,west
2025-02-18,WIDGET-PRO,2,160.36,east
2025-03-19,CABLE-USB,12,417.09,north
2025-04-20,DOCK-HDMI,5,126.41,south
2025-05-21,KEYCAP-SET,1,60.62,eu
2025-06-22,INVOICE-PAD,7,486.08,apac
2025-07-23,WIDGET-1,4,155.00,west
2025-08-24,WIDGET-PRO,6,177.80,east
2025-09-25,CABLE-USB,1,23.37,north
2025-10-26,DOCK-HDMI,13,937.94,south
2025-11-27,KEYCAP-SET,1,43.65,eu
2025-12-28,INVOICE-PAD,4,94.82,apac
2025-01-01,WIDGET-1,12,48.21,west
2025-02-02,WIDGET-PRO,4,81.76,east
2025-03-03,CABLE-USB,7,49.27,north
2025-04-04,DOCK-HDMI,12,218.59,south
2025-05-05,KEYCAP-SET,11,412.52,eu
2025-06-06,INVOICE-PAD,10,746.36,apac
2025-07-07,WIDGET-1,1,12.42,west
2025-08-08,WIDGET-PRO,4,28.34,east
2025-09-09,CABLE-USB,6,280.16,north
2025-10-10,DOCK-HDMI,4,217.52,south
2025-11-11,KEYCAP-SET,11,947.74,eu
2025-12-12,INVOICE-PAD,10,202.14,apac
2025-01-13,WIDGET-1,11,778.56,west
2025-02-14,WIDGET-PRO,10,675.59,east
2025-03-15,CABLE-USB,2,117.04,north
2025-04-16,DOCK-HDMI,8,477.17,south
2025-05-17,KEYCAP-SET,6,277.87,eu
2025-06-18,INVOICE-PAD,7,37.15,apac
2025-07-19,WIDGET-1,6,66.07,west
2025-08-20,WIDGET-PRO,5,336.79,east
2025-09-21,CABLE-USB,6,449.73,north
2025-10-22,DOCK-HDMI,8,452.32,south
2025-11-23,KEYCAP-SET,3,15.51,eu
2025-12-24,INVOICE-PAD,9,500.44,apac
2025-01-25,WIDGET-1,5,298.08,west
2025-02-26,WIDGET-PRO,2,60.65,east
2025-03-27,CABLE-USB,9,646.62,north
2025-04-28,DOCK-HDMI,9,742.88,south
2025-05-01,KEYCAP-SET,8,645.65,eu
2025-06-02,INVOICE-PAD,4,223.92,apac
2025-07-03,WIDGET-1,4,122.41,west
2025-08-04,WIDGET-PRO,1,54.96,east
2025-09-05,CABLE-USB,12,268.75,north
2025-10-06,DOCK-HDMI,1,4.67,south
2025-11-07,KEYCAP-SET,3,234.98,eu
2025-12-08,INVOICE-PAD,3,61.62,apac
2025-01-09,WIDGET-1,2,129.29,west
2025-02-10,WIDGET-PRO,6,355.36,east
2025-03-11,CABLE-USB,9,547.96,north
2025-04-12,DOCK-HDMI,2,147.18,south
2025-05-13,KEYCAP-SET,13,943.19,eu
2025-06-14,INVOICE-PAD,2,77.78,apac
2025-07-15,WIDGET-1,4,178.35,west
2025-08-16,WIDGET-PRO,6,524.44,east
2025-09-17,CABLE-USB,6,405.53,north
2025-10-18,DOCK-HDMI,6,182.65,south
2025-11-19,KEYCAP-SET,11,125.54,eu
2025-12-20,INVOICE-PAD,7,538.48,apac
2025-01-21,WIDGET-1,3,266.77,west
2025-02-22,WIDGET-PRO,1,87.77,east
2025-03-23,CABLE-USB,9,565.15,north
2025-04-24,DOCK-HDMI,4,151.00,south
2025-05-25,KEYCAP-SET,7,431.04,eu
2025-06-26,INVOICE-PAD,10,377.70,apac
2025-07-27,WIDGET-1,6,42.62,west
2025-08-28,WIDGET-PRO,3,266.49,east
2025-09-01,CABLE-USB,7,497.57,north
2025-10-02,DOCK-HDMI,2,109.26,south
2025-11-03,KEYCAP-SET,1,12.85,eu
2025-12-04,INVOICE-PAD,7,289.01,apac
2025-01-05,WIDGET-1,6,498.74,west
2025-02-06,WIDGET-PRO,7,236.84,east
2025-03-07,CABLE-USB,1,24.67,north
2025-04-08,DOCK-HDMI,8,497.35,south
2025-05-09,KEYCAP-SET,7,432.58,eu
2025-06-10,INVOICE-PAD,8,194.87,apac
2025-07-11,WIDGET-1,9,382.17,west
2025-08-12,WIDGET-PRO,12,551.59,east
2025-09-13,CABLE-USB,4,138.13,north
2025-10-14,DOCK-HDMI,9,449.34,south
2025-11-15,KEYCAP-SET,13,50.98,eu
2025-12-16,INVOICE-PAD,7,94.32,apac
2025-01-17,WIDGET-1,3,29.60,west
2025-02-18,WIDGET-PRO,5,254.39,east
2025-03-19,CABLE-USB,7,401.87,north
2025-04-20,DOCK-HDMI,11,216.45,south
2025-05-21,KEYCAP-SET,4,105.19,eu
2025-06-22,INVOICE-PAD,8,385.56,apac
2025-07-23,WIDGET-1,12,837.01,west
2025-08-24,WIDGET-PRO,6,184.13,east
2025-09-25,CABLE-USB,4,155.79,north
2025-10-26,DOCK-HDMI,4,57.93,south
2025-11-27,KEYCAP-SET,4,87.22,eu
2025-12-28,INVOICE-PAD,9,424.89,apac
2025-01-01,WIDGET-1,4,315.01,west
2025-02-02,WIDGET-PRO,5,301.87,east
2025-03-03,CABLE-USB,4,62.21,north
2025-04-04,DOCK-HDMI,10,145.53,south
2025-05-05,KEYCAP-SET,4,176.22,eu
2025-06-06,INVOICE-PAD,9,495.18,apac
2025-07-07,WIDGET-1,2,166.70,west
2025-08-08,WIDGET-PRO,4,187.21,east
2025-09-09,CABLE-USB,13,980.34,north
2025-10-10,DOCK-HDMI,12,659.88,south
2025-11-11,KEYCAP-SET,11,535.68,eu
2025-12-12,INVOICE-PAD,5,392.59,apac
2025-01-13,WIDGET-1,3,65.98,west
2025-02-14,WIDGET-PRO,5,280.29,east
2025-03-15,CABLE-USB,10,266.03,north
2025-04-16,DOCK-HDMI,9,130.08,south
2025-05-17,KEYCAP-SET,4,288.77,eu
2025-06-18,INVOICE-PAD,7,261.74,apac
2025-07-19,WIDGET-1,13,852.76,west
2025-08-20,WIDGET-PRO,12,882.64,east
2025-09-21,CABLE-USB,2,152.74,north
2025-10-22,DOCK-HDMI,3,153.24,south
2025-11-23,KEYCAP-SET,1,72.64,eu
2025-12-24,INVOICE-PAD,4,211.03,apac
2025-01-25,WIDGET-1,6,338.58,west
2025-02-26,WIDGET-PRO,6,151.82,east
2025-03-27,CABLE-USB,7,363.67,north
2025-04-28,DOCK-HDMI,11,135.87,south
2025-05-01,KEYCAP-SET,13,422.12,eu
2025-06-02,INVOICE-PAD,7,520.76,apac
2025-07-03,WIDGET-1,6,372.37,west
2025-08-04,WIDGET-PRO,4,126.57,east
2025-09-05,CABLE-USB,3,189.03,north
2025-10-06,DOCK-HDMI,11,324.83,south
2025-11-07,KEYCAP-SET,10,625.50,eu
2025-12-08,INVOICE-PAD,8,450.42,apac
2025-01-09,WIDGET-1,12,114.96,west
2025-02-10,WIDGET-PRO,6,339.60,east
2025-03-11,CABLE-USB,13,954.00,north
2025-04-12,DOCK-HDMI,13,352.04,south
